Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,20.398905,21.855965,20.034639,27.250000,21.176004,1505700
1999-02-01,21.273138,21.746691,20.350336,27.281250,21.200296,725000
1999-03-01,21.151726,22.268799,20.908875,28.000000,21.758831,513100
1999-04-01,21.758831,23.774445,21.491707,29.000000,22.535933,522900
1999-05-01,22.803061,23.385889,21.552420,28.109381,21.843836,272400
1999-06-01,21.734545,22.900204,21.588846,29.343750,22.803061,168000
1999-07-01,22.705917,23.337328,22.123098,28.468750,22.123098,241700
1999-08-01,22.147387,22.268799,20.738886,27.187500,21.127439,407700
1999-09-01,21.030300,22.086674,20.374622,26.812500,20.836027,168500
1999-10-01,20.799593,22.147387,19.682514,28.171881,21.892399,319900
1999-11-01,21.989536,23.045908,21.503847,28.500000,22.147387,317800
1999-12-01,22.123098,24.005133,22.050245,30.890619,24.005133,2852900
2000-01-01,24.231119,25.745560,22.789949,30.109381,23.534971,1869900
2000-02-01,23.620455,24.866207,21.104517,28.140619,21.996082,1110800
2000-03-01,22.093794,24.512032,21.275509,30.671881,23.974648,2289900
2000-04-01,24.170048,24.328823,21.214439,30.312500,23.693731,253600
2000-05-01,23.767008,23.889147,21.861742,29.500000,23.058643,511400
2000-06-01,23.107492,23.840298,22.594542,29.562500,23.107492,1862700
2000-07-01,22.863224,23.791441,22.374704,29.125000,22.765518,523000
2000-08-01,22.692244,23.962431,22.692244,30.156250,23.571608,354500
2000-09-01,23.473888,23.669310,21.886173,29.062500,22.716667,2885000
2000-10-01,22.863224,23.815872,19.687788,29.500000,23.058643,294700
2000-11-01,23.095287,23.742586,20.615990,26.812500,20.957962,331100
2000-12-01,21.006819,22.521257,20.298454,27.250000,21.299942,397700
2001-01-01,21.108332,23.649153,20.436474,29.219999,22.843912,1071600
2001-02-01,23.062809,23.336435,21.725948,28.660000,22.406107,936100
2001-03-01,22.304470,22.546824,19.192947,26.820000,20.967611,419800
2001-04-01,21.073080,22.879353,20.095665,28.799999,22.519657,8234700
2001-05-01,22.590034,24.091331,22.152157,29.900000,23.379786,397900
2001-06-01,23.301586,23.598728,22.245979,29.549999,23.106113,366300
2001-07-01,23.115673,23.358171,21.817133,28.959999,22.654142,258400
2001-08-01,22.568098,22.920115,21.246090,27.490000,21.504232,590800
2001-09-01,21.472942,21.910997,16.427383,23.500000,18.383024,2230800
2001-10-01,18.390587,19.447065,18.046242,23.620001,18.484497,592600
2001-11-01,18.367102,20.973091,18.367102,26.360001,20.628757,1248100
2001-12-01,20.503546,21.935663,20.456591,26.950001,21.090483,939200
2002-01-01,21.323845,22.029408,20.265493,26.750000,20.971062,2801500
2002-02-01,21.206249,22.107817,20.422285,27.980000,21.935331,843000
2002-03-01,21.990211,23.597340,21.880457,29.590000,23.197521,1213900
2002-04-01,22.823568,23.929457,22.509844,29.410000,23.066710,2263800
2002-05-01,23.137302,23.921616,22.745140,29.820000,23.388277,1439900
