Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,28.947351,29.555290,24.972349,30.750000,28.760292,315800
2015-12-01,28.975405,29.545937,27.983997,31.184000,29.166210,81400
2016-01-01,29.295786,29.676878,26.591270,29.190001,27.603102,37200
2016-02-01,27.997431,28.189392,25.599297,29.330000,27.735491,24300
2016-03-01,28.179935,30.572397,28.170483,32.160000,30.411638,201800
2016-04-01,30.571594,31.647518,29.604507,31.379999,29.957739,89000
2016-05-01,29.776350,31.685701,29.580641,31.920000,30.473263,83100
2016-06-01,30.310968,32.077118,30.200228,33.590000,32.067574,108300
2016-07-01,32.563328,33.468132,32.080124,34.678001,33.379578,1412800
2016-08-01,33.410378,33.516258,31.668152,33.380001,32.130177,1214100
2016-09-01,32.255306,32.630707,30.464951,32.770000,31.543020,57438500
2016-10-01,31.603226,31.641932,29.372805,30.950001,29.948555,45375000
2016-11-01,29.871143,29.901138,28.133253,30.010000,29.038969,52091500
2016-12-01,28.855118,30.461405,28.458384,30.750000,29.755024,43564900
2017-01-01,30.409575,31.089502,29.926727,30.709999,30.261765,38090300
2017-02-01,30.222349,31.877823,29.877457,32.139999,31.670893,42562200
2017-03-01,31.592062,31.777317,30.094246,31.600000,31.138773,54173100
2017-04-01,31.396891,32.320152,31.188637,31.650000,31.386974,36392300
2017-05-01,31.436560,32.079174,30.881212,31.860001,31.595230,37806900
2017-06-01,31.605146,32.550228,31.461351,32.459999,32.190243,26672000
